Subject,Start Date,Start Time,End Date,End Time,Description
Operations Research,04/12/2025,13:30,04/12/2025,15:00,Prof. Rohit Agarwal
Entrepreneurship,05/12/2025,09:00,05/12/2025,10:30,Prof. Sk Abu Khalek
Marketing Management II,05/12/2025,10:45,05/12/2025,12:15,Prof. Chandan Parsad
Macroeconomics,05/12/2025,13:30,05/12/2025,15:00,Prof. Madhumita Das
Operations Research,05/12/2025,15:15,05/12/2025,16:45,Prof. Rohit Agarwal
Design Thinking,06/12/2025,09:00,06/12/2025,10:30,Prof. Vishal Ashok Wankhede
Human Resource Management,08/12/2025,09:00,08/12/2025,10:30,Prof. Abhyudaya Anand Mishra
Financial Management I,08/12/2025,10:45,08/12/2025,12:15,Prof. Ashish Sharma
Entrepreneurship,08/12/2025,13:30,08/12/2025,15:00,Prof. Sk Abu Khalek
Marketing Management II,08/12/2025,15:15,08/12/2025,16:45,Prof. Chandan Parsad
Design Thinking,09/12/2025,09:00,09/12/2025,10:30,Prof. Vishal Ashok Wankhede
Operations Research,09/12/2025,10:45,09/12/2025,12:15,Prof. Rohit Agarwal
Macroeconomics,09/12/2025,13:30,09/12/2025,15:00,Prof. Madhumita Das
Design Thinking,10/12/2025,09:00,10/12/2025,10:30,Prof. Vishal Ashok Wankhede
Human Resource Management,10/12/2025,10:45,10/12/2025,12:15,Prof. Abhyudaya Anand Mishra
Workshop on Interviews and Presentations,10/12/2025,13:30,10/12/2025,15:00,Prof. Sanjay Kaushal
END TERM EXAMINATIONS,11/12/2025,09:00,11/12/2025,10:30,nan
END TERM EXAMINATIONS,11/12/2025,10:45,11/12/2025,12:15,nan
END TERM EXAMINATIONS,11/12/2025,13:30,11/12/2025,15:00,nan
END TERM EXAMINATIONS,11/12/2025,15:15,11/12/2025,16:45,nan
END TERM EXAMINATIONS,12/12/2025,09:00,12/12/2025,10:30,nan
END TERM EXAMINATIONS,12/12/2025,10:45,12/12/2025,12:15,nan
END TERM EXAMINATIONS,12/12/2025,13:30,12/12/2025,15:00,nan
END TERM EXAMINATIONS,12/12/2025,15:15,12/12/2025,16:45,nan
END TERM EXAMINATIONS,13/12/2025,09:00,13/12/2025,10:30,nan
END TERM EXAMINATIONS,13/12/2025,10:45,13/12/2025,12:15,nan
END TERM EXAMINATIONS,13/12/2025,13:30,13/12/2025,15:00,nan
END TERM EXAMINATIONS,13/12/2025,15:15,13/12/2025,16:45,nan
END TERM EXAMINATIONS,14/12/2025,09:00,14/12/2025,10:30,nan
END TERM EXAMINATIONS,14/12/2025,10:45,14/12/2025,12:15,nan
END TERM EXAMINATIONS,14/12/2025,13:30,14/12/2025,15:00,nan
END TERM EXAMINATIONS,14/12/2025,15:15,14/12/2025,16:45,nan
END TERM EXAMINATIONS,15/12/2025,09:00,15/12/2025,10:30,nan
END TERM EXAMINATIONS,15/12/2025,10:45,15/12/2025,12:15,nan
END TERM EXAMINATIONS,15/12/2025,13:30,15/12/2025,15:00,nan
END TERM EXAMINATIONS,15/12/2025,15:15,15/12/2025,16:45,nan
END TERM EXAMINATIONS,16/12/2025,09:00,16/12/2025,10:30,nan
END TERM EXAMINATIONS,16/12/2025,10:45,16/12/2025,12:15,nan
END TERM EXAMINATIONS,16/12/2025,13:30,16/12/2025,15:00,nan
END TERM EXAMINATIONS,16/12/2025,15:15,16/12/2025,16:45,nan
END TERM EXAMINATIONS,17/12/2025,09:00,17/12/2025,10:30,nan
END TERM EXAMINATIONS,17/12/2025,10:45,17/12/2025,12:15,nan
END TERM EXAMINATIONS,17/12/2025,13:30,17/12/2025,15:00,nan
END TERM EXAMINATIONS,17/12/2025,15:15,17/12/2025,16:45,nan
